=========== TABLE 1
| 0x7 | 0x7 | CMP V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x7 | 0x8 | CMP V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x7 | 0x9 | CMP V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x7 | 0xa | CMP V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x7 | 0xb | CMP V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x7 | 0xc | CMP V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x7 | 0xd | CMP V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x7 | 0xe | CMP V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x7 | 0xf | CMP V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x8 | 0x0 | UNSET A_ABS_11 U24 BYTE NON TBL2
| 0x8 | 0x1 | UNSET A_ABS_11 U24 BYTE NON TBL2
| 0x8 | 0x2 | UNSET A_ABS_11 U24 BYTE NON TBL2
| 0x8 | 0x3 | UNSET A_ABS_11 U24 BYTE NON TBL2
| 0x8 | 0x4 | UNSET A_ABS_11 U24 BYTE NON TBL2
| 0x8 | 0x5 | UNSET A_ABS_11 U24 BYTE NON TBL2
| 0x8 | 0x6 | UNSET A_ABS_11 U24 BYTE NON TBL2
| 0x8 | 0x7 | UNSET A_ABS_11 U24 BYTE NON TBL2
| 0x8 | 0x8 | UNSET A_ABS_11 U24 WORD NON TBL2
| 0x8 | 0x9 | UNSET A_ABS_11 U24 WORD NON TBL2
| 0x8 | 0xa | UNSET A_ABS_11 U24 WORD NON TBL2
| 0x8 | 0xb | UNSET A_ABS_11 U24 WORD NON TBL2
| 0x8 | 0xc | UNSET A_ABS_11 U24 WORD NON TBL2
| 0x8 | 0xd | UNSET A_ABS_11 U24 WORD NON TBL2
| 0x8 | 0xe | UNSET A_ABS_11 U24 WORD NON TBL2
| 0x8 | 0xf | UNSET A_ABS_11 U24 WORD NON TBL2
| 0x9 | 0x0 | UNSET R_IND_OFFS_W2 U24 BYTE NON TBL2
| 0x9 | 0x1 | UNSET R_IND_OFFS_W2 U24 BYTE NON TBL2
| 0x9 | 0x2 | UNSET R_IND_OFFS_W2 U24 BYTE NON TBL2
| 0x9 | 0x3 | UNSET R_IND_OFFS_W2 U24 BYTE NON TBL2
| 0x9 | 0x4 | UNSET R_IND_OFFS_W2 U24 BYTE NON TBL2
| 0x9 | 0x5 | UNSET R_IND_OFFS_W2 U24 BYTE NON TBL2
| 0x9 | 0x6 | UNSET R_IND_OFFS_W2 U24 BYTE NON TBL2
| 0x9 | 0x7 | UNSET R_IND_OFFS_W2 U24 BYTE NON TBL2
| 0x9 | 0x8 | UNSET R_IND_OFFS_W2 U24 WORD NON TBL2
| 0x9 | 0x9 | UNSET R_IND_OFFS_W2 U24 WORD NON TBL2
| 0x9 | 0xa | UNSET R_IND_OFFS_W2 U24 WORD NON TBL2
| 0x9 | 0xb | UNSET R_IND_OFFS_W2 U24 WORD NON TBL2
